iter	RMSE
0	161171.4154
1	155024.6229
2	149733.6615
3	144038.4183
4	138473.5117
5	133520.8773
6	128425.7033
7	123769.349
8	119375.2916
9	115028.1282
10	110674.8807
11	106582.7935
12	102750.9669
13	99070.58831
14	95286.9864
15	92104.06789
16	88701.62812
17	85741.08436
18	82728.38411
19	79860.64851
20	77462.54475
21	74871.72956
22	72606.46458
23	70184.74986
24	67787.28618
25	65780.49628
26	63737.27177
27	61775.92238
28	59921.3433
29	58055.05782
30	56605.30942
31	55057.20396
32	53391.89775
33	51828.3284
34	50324.45231
35	49078.59112
36	47761.60869
37	46412.76348
38	45389.18238
39	44176.14035
40	42995.45292
41	42001.77938
42	40959.8188
43	39964.44844
44	38874.21615
45	38016.35918
46	37296.83246
47	36593.25922
48	35868.46423
49	35156.9035
50	34392.68956
51	33776.70459
52	33168.72972
53	32542.12327
54	31956.6119
55	31408.70723
56	30976.61628
57	30522.37853
58	30053.15711
59	29592.01284
60	29165.24385
61	28813.3505
62	28415.24086
63	27990.28839
64	27637.0375
65	27298.59144
66	26923.9214
67	26560.236
68	26255.68867
69	25924.0136
70	25604.74433
71	25348.76152
72	25120.60587
73	24889.86842
74	24669.73921
75	24439.45079
76	24252.2817
77	24008.47281
78	23764.58965
79	23530.92406
80	23316.94268
81	23155.34288
82	22983.3704
83	22784.16497
84	22618.94046
85	22456.75964
86	22266.49217
87	22064.08326
88	21917.76481
89	21785.28990	218890	2263691	217291	2247592	215992	2232893	214593	221994	2131294	220495	2113995	218596	2099896	217397	2088297	216198	2075398	214899	2062299	2136100	2049100	2124101	20399.89535
102	20310.08586
103	20194.12218
104	20107.82909
105	200105	20700106	199106	20609107	198107	20506108	197108	20416109	19657.37426
110	19578.66356
111	19498.94239
112	19407.5221
113	19311.54022
114	19183.30866
115	19084.80007
116	19004.53085
117	18924.83353
118	18826.98225
119	18770.69059
120	18664.66736
121	18590.04017
122	18488.60074
123	18415.82772
124	18365.09051
125	18301.63554
126	18215.00656
127	18145.33324
128	18064.54032
129	17995.96349
130	17916.12703
131	17857.77032
132	17786.50066
133	17674.66736
134	17596.33184
135	17529.0593
136	17451.24887
137	17377.79555
138	17336.10864
139	17270.21108
140	17196.32018
141	17120.6094
142	17052.75814
143	16975.3622
144	16883.39854
145	16819.84079
146	16778.03085
147	16712.42426
148	16633.21611
149	16576.76856
150	16524.89417
151	16455.4098
152	16414.09541
153	16355.95361
154	16289.27977
155	16228.49856
156	16163.92823
157	16109.83271
158	16063.72258
159	16003.17565
160	15963.88337
161	15919.73489
162	15870.12321
163	15817.20601
164	15759.27804
165	15713.77108
166	15642.34482
167	15588.87503
168	15519.22077
169	15481.69052
170	15427.44974
171	15367.06168
172	15324.24563
173	15271.89749
174	15212.96408
175	15170.26256
176	15116.15162
177	15089.21389
178	15036.70669
179	14982.84972
180	14931.00309
181	14884.61594
182	14832.63301
183	14799.73389
184	14751.87965
185	14714.5073
186	14669.00827
187	14620.36126
188	14553.43377
189	14493.74557
190	14449.35821
191	14423.52564
192	14370.72115
193	14333.26701
194	14291.05725
195	14250.03025
196	14194.01442
197	14163.18202
198	14114.75146
199	14084.13838
88
32
