iter	Passed	Remaining
0	214	42645
1	249	24676
2	284	18671
3	318	15592
4	380	14839
5	415	13429
6	445	12294
7	479	11504
8	504	10704
9	574	10922
10	601	10330
11	623	9763
12	656	9449
13	690	9177
14	753	9288
15	791	9104
16	818	8808
17	851	8608
18	873	8322
19	895	8057
20	940	8015
21	984	7968
22	1013	7801
23	1045	7669
24	1071	7498
25	1099	7359
26	1144	7335
27	1177	7233
28	1208	7123
29	1240	7026
30	1270	6925
31	1338	7028
32	1377	6971
33	1403	6852
34	1427	6731
35	1473	6711
36	1522	6705
37	1556	6633
38	1610	6647
39	1676	6704
40	1704	6610
41	1739	6545
42	1769	6459
43	1796	6369
44	1832	6312
45	1919	6425
46	1968	6407
47	2001	6338
48	2036	6276
49	2108	6326
50	2133	6234
51	2169	6173
52	2202	6108
53	2228	6025
54	2258	5954
55	2291	5892
56	2324	5832
57	2359	5775
58	2411	5763
59	2449	5715
60	2476	5643
61	2505	5575
62	2538	5519
63	2568	5458
64	2593	5386
65	2619	5318
66	2647	5254
67	2682	5207
68	2720	5165
69	2770	5144
70	2791	5072
71	2818	5011
72	2843	4946
73	2866	4881
74	2891	4818
75	2913	4753
76	2933	4686
77	2960	4630
78	2983	4569
79	3007	4511
80	3027	4447
81	3047	4385
82	3063	4317
83	3086	4262
84	3111	4209
85	3130	4149
86	3153	4096
87	3177	4044889	3352	4097990	3434	4113991	3466	4068992	3495	4021993	3524	3974994	3598	3977995	3641	3944996	3676	3904997	3708	3860998	3735	3810999	3768	37681100	3792	3717101	3858	3707
102	3910	3682
103	3943	3640
104	3968	3590
1105	3981	35311106	4008	34841107	4025	34291108	4051	3382109	4084	3342
110	4136	3316
111	4196	3297
112	4235	3261
113	4261	3214
114	4290	3170
115	4315	3125
116	4330	3072
117	4356	3027
118	4380	2981
119	4422	2948
120	4452	2907
121	4475	2861
122	4498	2815
123	4521	2771
124	4545	2727
125	4579	2689
126	4604	2646
127	4631	2604
128	4654	2561
129	4681	2520
130	4710	2481
131	4737	2440
132	4766	2401
133	4795	2361
134	4822	2321
135	4845	2280
136	4867	2238
137	4888	2196
138	4911	2155
139	4938	2116
140	4959	2075
141	4992	2039
142	5012	1998
143	5035	1958
144	5063	1920
145	5080	1879
146	5108	1841
147	5126	1801
148	5151	1763
149	5178	1726
150	5214	1692
151	5236	1653
152	5262	1616
153	5280	1577
154	5303	1539
155	5324	1501
156	5353	1466
157	5374	1428
158	5404	1393
159	5426	1356
160	5457	1322
161	5483	1286
162	5524	1254
163	5552	1218
164	5577	1183
165	5606	1148
166	5648	1116
167	5687	1083
168	5714	1048
169	5736	1012
170	5763	977
171	5792	942
172	5816	907
173	5845	873
174	5879	839
175	5916	806
176	5944	772
177	5976	738
178	6006	704
179	6038	670
180	6061	636
181	6076	600
182	6091	565
183	6105	530
184	6117	496
185	6130	461
186	6143	427
187	6155	392
188	6168	358
189	6181	325
190	6193	291
191	6205	258
192	6245	226
193	6264	193
194	6280	161
195	6299	128
196	6312	96
197	6321	63
198	6331	31
199	6340	0

199	6154	0
